Timestamp,n-payments-per-block,miners-revenue,trade-volume,avg-block-size,n-unique-addresses,difficulty,hash-rate
5/21/2019 0:00,4503,16828130,251989802,1.258643059,657474,6700000000000,51172297
5/22/2019 0:00,4207,18104558,141589252,1.201243293,646106,6700000000000,51222568
5/23/2019 0:00,4357,16469421,162680991,1.226995165,630228,6700000000000,52082203
5/24/2019 0:00,4648,16833084,151053339,1.254131843,644200,6700000000000,52656110
5/25/2019 0:00,4069,15115205,157606999,1.177713414,511153,6700000000000,52753976
5/26/2019 0:00,3523,17530638,62381654,1.00135643,476819,6700000000000,52135938
5/27/2019 0:00,4245,20943626,190510656,1.190717216,644814,6700000000000,52231163
5/28/2019 0:00,4458,20098452,179353691,1.262846012,685040,6700000000000,52516839
5/29/2019 0:00,4235,20660476,134279874,1.224251023,680323,6700000000000,53040579
5/30/2019 0:00,4322,18924858,139788877,1.213646113,642352,6750000000000,53373868
5/31/2019 0:00,5221,13928405,291707290,1.291766803,598627,7460000000000,53517351
6/1/2019 0:00,3907,17500366,174940726,1.244086252,578368,7460000000000,52430641
6/2/2019 0:00,3991,15462128,79112823,1.200579634,489569,7460000000000,53764036
6/3/2019 0:00,4728,14378778,80345418,1.256748504,550346,7460000000000,52847618
6/4/2019 0:00,4677,17028462,189061317,1.253258474,687738,7460000000000,51200279
6/5/2019 0:00,4198,16774167,298320274,1.239725519,631420,7460000000000,51549892
6/6/2019 0:00,4094,16576547,156168264,1.158709758,602273,7460000000000,51741225
6/7/2019 0:00,4160,16904714,155472101,1.187780804,619327,7460000000000,52391956
6/8/2019 0:00,4041,12882273,152941462,1.143843968,471819,7460000000000,54563917
6/9/2019 0:00,3442,15040475,76557021,0.927426061,438208,7460000000000,53133601
6/10/2019 0:00,4058,16318423,75192236,1.150810567,607094,7460000000000,53981196
6/11/2019 0:00,4554,14984664,137334731,1.258056077,623398,7460000000000,55994234
6/12/2019 0:00,4725,14041153,119201859,1.260088069,601949,7460000000000,55411512
6/13/2019 0:00,4537,16311181,170534084,1.264188841,667841,7460000000000,53875247
6/14/2019 0:00,4450,18846894,118173871,1.290370444,731367,7410000000000,53557399
6/15/2019 0:00,4255,16609185,165814337,1.233728966,601012,7410000000000,54082274
6/16/2019 0:00,4076,15480925,110733187,1.175121715,520293,7410000000000,55195585
6/17/2019 0:00,4924,16680373,291304565,1.233756692,628484,7410000000000,54248596
6/18/2019 0:00,4311,19759220,236199963,1.236012356,696937,7410000000000,52929713
6/19/2019 0:00,3992,21219686,91483266,1.159557627,664204,7410000000000,53931004
6/20/2019 0:00,4642,17906834,64175901,1.245132021,635532,7410000000000,56304637
6/21/2019 0:00,4927,17538288,88441301,1.265748887,654639,7410000000000,55882396
6/22/2019 0:00,4520,20226179,134167792,1.209288709,643642,7410000000000,53985663
6/23/2019 0:00,3543,25447587,210388798,1.179403409,596158,7410000000000,53722575
6/24/2019 0:00,3951,25683150,92033604,1.215810192,659329,7410000000000,56406072
6/25/2019 0:00,4868,22012700,90826287,1.245764247,682866,7410000000000,58721247
6/26/2019 0:00,4548,28602342,188227336,1.240848794,768792,7410000000000,57826748
6/27/2019 0:00,4897,23684931,521683548,1.233317704,694016,7870000000000,57195337
6/28/2019 0:00,4412,25937335,423175771,1.255488209,729817,7930000000000,57552683
6/29/2019 0:00,3553,27405859,251088678,1.148651322,573175,7930000000000,59739283
6/30/2019 0:00,3730,23170049,184877336,1.003498868,497075,7930000000000,62124771
7/1/2019 0:00,4523,20510124,172764922,1.26303335,624927,7930000000000,61165896
7/2/2019 0:00,4241,21634656,171482109,1.23998631,671396,7930000000000,59910359
7/3/2019 0:00,3960,25660430,240430091,1.186933564,651074,7930000000000,61131189
7/4/2019 0:00,3805,25608368,273546634,1.139688042,603018,7930000000000,62141159
7/5/2019 0:00,3623,27132379,130466909,1.027819063,617685,7930000000000,63617010
7/6/2019 0:00,3301,26335707,124193829,0.897182388,523872,7930000000000,65082061
7/7/2019 0:00,3311,22174982,85554898,0.956807588,447034,7930000000000,65307453
7/8/2019 0:00,3638,27968214,67612787,1.064795584,622449,7930000000000,65363802
7/9/2019 0:00,3958,25335915,277905477,1.155262513,623107,8590000000000,67335985
7/10/2019 0:00,4817,21508973,364111379,1.270236891,616784,9060000000000,67824438
7/11/2019 0:00,4740,19960969,507237488,1.25302507,598394,9060000000000,66436143
7/12/2019 0:00,3990,24773188,400745299,1.232422543,637928,9060000000000,65329589
7/13/2019 0:00,3591,20609810,223317774,1.048582589,472491,9060000000000,65236286
7/14/2019 0:00,3391,20182908,237143043,0.952888731,437636,9060000000000,64282328
7/15/2019 0:00,4278,19638311,163504273,1.136103938,585913,9060000000000,64994549
7/16/2019 0:00,3956,22149573,334140372,1.098875278,595749,9060000000000,64362436
7/17/2019 0:00,4275,16501101,413796084,1.15372491,569185,9060000000000,65398734
7/18/2019 0:00,5458,15933222,350207291,1.261034248,588257,9060000000000,65656209
7/19/2019 0:00,4659,16208140,400333481,1.262904373,566404,9060000000000,65141259
7/20/2019 0:00,2960,24399902,266367992,1.047570593,488968,9060000000000,62180292
7/21/2019 0:00,3011,20103998,231375271,0.887190201,400500,9060000000000,64497570
7/22/2019 0:00,3619,21529384,149533509,1.004485468,533399,9060000000000,64755046
7/23/2019 0:00,3691,18769327,207597158,1.103765105,531460,9030000000000,65527472
7/24/2019 0:00,3527,17345757,198778567,1.107293878,490408,9010000000000,64272984
7/25/2019 0:00,3725,19605754,207985687,1.133330787,568629,9010000000000,64609474
7/26/2019 0:00,3434,20745948,132194260,0.957042542,563023,9010000000000,66422512
7/27/2019 0:00,3048,18834366,122793165,0.858096651,445312,9010000000000,69452834
7/28/2019 0:00,2477,20994349,196200933,0.70364656,391947,9010000000000,67789240
7/29/2019 0:00,3215,20887751,93425735,0.960283161,521007,9010000000000,69400228
7/30/2019 0:00,3799,17750997,110257994,1.168352,548807,9010000000000,69983819
7/31/2019 0:00,3366,21676009,115667922,1.007365485,573802,9010000000000,69900134
8/1/2019 0:00,3830,18606541,171671949,1.150850859,558918,9010000000000,71948489
8/2/2019 0:00,3482,22617509,173753011,1.033215941,581154,9010000000000,71436400
8/3/2019 0:00,2919,23901418,194052552,0.847532514,470981,9010000000000,71628434
8/4/2019 0:00,2768,23105970,142750702,0.825016581,421536,9010000000000,72972667
8/5/2019 0:00,3904,22256372,165486450,1.179503441,583599,9890000000000,72460578
8/6/2019 0:00,3714,24239821,360876819,1.145295174,617620,9990000000000,71750337
8/7/2019 0:00,4249,23489547,385189642,1.134389882,545941,9990000000000,74077369
8/8/2019 0:00,3879,22052437,364388175,1.239356866,568245,9990000000000,73980794
8/9/2019 0:00,3911,22823177,211151932,1.156579728,562840,9990000000000,74960524
8/10/2019 0:00,3200,22285954,180122399,0.910549139,453016,9990000000000,74566507
8/11/2019 0:00,2870,22402406,185394290,0.791410216,414832,9990000000000,74200089
8/12/2019 0:00,3891,19835024,104661395,1.035999226,459560,9990000000000,74359558
8/13/2019 0:00,4022,23339417,84492312,1.189568873,566410,9990000000000,73747045
8/14/2019 0:00,3818,20751478,193935253,1.13971277,554189,9990000000000,73463403
8/15/2019 0:00,3790,20403806,280655887,1.06614658,538837,9990000000000,73392492
8/16/2019 0:00,3759,20175209,339458150,1.035984741,533245,9990000000000,74456151
8/17/2019 0:00,3705,16818757,242929697,0.996770289,441149,9990000000000,74456151
8/18/2019 0:00,3538,16497323,91003712,0.949509167,407213,10000000000000,72825207
8/19/2019 0:00,3304,22512416,77572050,0.93890562,517545,10200000000000,70938762
8/20/2019 0:00,4004,21381941,171807868,1.077213275,558999,10200000000000,73295436
8/21/2019 0:00,4997,18133520,122315070,1.188414015,599152,10200000000000,73227078
8/22/2019 0:00,4679,18244787,236246173,1.241886241,609067,10200000000000,72283872
8/23/2019 0:00,3782,20303217,141841654,1.095520869,564675,10200000000000,71347701
8/24/2019 0:00,3060,20913191,122936633,0.977127281,452008,10200000000000,71988449
8/25/2019 0:00,2877,20023054,117754911,0.804201897,393555,10200000000000,74482723
8/26/2019 0:00,3943,18051599,102865893,1.170414139,539168,10200000000000,76729088
8/27/2019 0:00,3965,17790118,189624308,1.159739378,535379,10200000000000,74848828
8/28/2019 0:00,3618,19285143,102638637,1.038467139,526015,10200000000000,73547109
8/29/2019 0:00,3425,20199159,203978694,0.995517388,545362,10200000000000,74631875
8/30/2019 0:00,3606,19625872,157535720,1.0054113,543570,10200000000000,76367500
8/31/2019 0:00,3187,20380766,112305189,0.874326187,464447,10200000000000,76873724
9/1/2019 0:00,3210,17386554,40437359,0.885620448,423910,10700000000000,77307630
9/2/2019 0:00,3659,19567795,45179221,1.055764356,529944,10800000000000,76949688
9/3/2019 0:00,3669,22232235,153032807,1.088154232,595785,10800000000000,78440212
9/4/2019 0:00,3895,18375694,228788747,1.177994235,544449,10800000000000,81222827
9/5/2019 0:00,3425,22456932,196753396,1.020782558,550315,10800000000000,80706442
9/6/2019 0:00,3888,21464688,90967493,1.091438715,601748,10800000000000,81396022
9/7/2019 0:00,3371,20094043,210268388,0.92503502,472297,10800000000000,81911711
9/8/2019 0:00,2630,23644816,65192692,0.70717213,436798,10800000000000,81381519
9/9/2019 0:00,3623,19160369,63124156,1.089865103,536567,10800000000000,84070181
9/10/2019 0:00,3085,23662199,133582937,0.957443978,564563,10800000000000,83840690
9/11/2019 0:00,3021,23997271,109189912,0.953451777,556853,10800000000000,85217636
9/12/2019 0:00,3547,20481340,122176795,0.979857646,564060,10800000000000,88889491
9/13/2019 0:00,3497,19643242,114864654,1.069618267,546950,11000000000000,88354012
9/14/2019 0:00,3173,20523303,95214497,0.903661329,491282,11900000000000,87940628
9/15/2019 0:00,2982,19411747,55063941,0.867850374,422886,11900000000000,89554385
9/16/2019 0:00,3470,21460937,40801052,1.054939294,562077,11900000000000,88427198
9/17/2019 0:00,3805,19262723,107174306,1.157712412,567927,11900000000000,91022468
9/18/2019 0:00,3392,22533479,91392244,1.069905448,578686,11900000000000,89597236
9/19/2019 0:00,3758,19373704,90728914,1.104391142,552276,11900000000000,90214468
9/20/2019 0:00,3735,19539824,157389488,1.040262013,557003,11900000000000,90625165
9/21/2019 0:00,3220,21079948,89963558,0.884734271,493311,11900000000000,91702566
9/22/2019 0:00,3289,21169976,69869004,0.850795608,456990,11900000000000,92631414
9/23/2019 0:00,4717,14647184,59501806,1.243719526,544681,11900000000000,94235786
9/24/2019 0:00,3763,19220355,120001577,1.163618121,596954,11900000000000,90098194
9/25/2019 0:00,3714,17222704,491431838,1.10453434,571599,11900000000000,90858160
9/26/2019 0:00,3309,18142040,269030045,0.970737503,554702,12000000000000,89338228
9/27/2019 0:00,3955,13731934,286339496,1.0954235,532292,12800000000000,91434682
9/28/2019 0:00,3136,16399124,167290268,0.887235503,474974,12800000000000,90645115
9/29/2019 0:00,3318,14292283,99366390,0.899054971,435119,12800000000000,91035501
